(8, 20, 11)
(23, 81, 57)
(84, 98, 13)
(101, 123, 21)
(127, 132, 4)
(135, 153, 17)
(166, 175, 8)
(180, 204, 23)
(207, 209, 1)
(213, 218, 4)
(220, 228, 7)
(231, 235, 3)
(238, 288, 49)
(295, 298, 2)
(301, 321, 19)
(324, 329, 4)
(333, 337, 3)
(340, 363, 22)
(366, 376, 9)
(379, 394, 14)
(396, 407, 10)
(411, 426, 14)
(429, 438, 8)
(442, 458, 15)
(460, 462, 1)
(467, 475, 7)
(483, 492, 8)
(495, 498, 2)
